node_id,yinshi_w_value,xianshi_w_value
1457408925842620416,2021-11-07,2021-11-22
1458355767216586752,2021-11-10,2021-11-22
1456441701891936512,2021-11-05,2021-11-22
1455041322792808448,2021-11-01,2021-11-22
1458373069026824192,2021-11-10,2021-11-22
1460193074278113280,2021-11-15,2021-11-22
1457408925842620416,2021-11-07,2021-11-23
1458355767216586752,2021-11-10,2021-11-23
1456441701891936512,2021-11-05,2021-11-23
1455041322792808448,2021-11-01,2021-11-23
1458373069026824192,2021-11-10,2021-11-23
1460193074278113280,2021-11-15,2021-11-23
1452580366355611648,2021-10-25,2021-11-23
1457408925842620416,2021-11-07,2021-11-24
1458355767216586752,2021-11-10,2021-11-24
1456441701891936512,2021-11-05,2021-11-24
1455041322792808448,2021-11-01,2021-11-24
1458373069026824192,2021-11-10,2021-11-24
1460193074278113280,2021-11-15,2021-11-24
1452580366355611648,2021-10-25,2021-11-24
1457408925842620416,2021-11-07,2021-11-25
1458355767216586752,2021-11-10,2021-11-25
1456441701891936512,2021-11-05,2021-11-25
1455041322792808448,2021-11-01,2021-11-25
1458373069026824192,2021-11-10,2021-11-25
1460193074278113280,2021-11-15,2021-11-25
1457408925842620416,2021-11-07,2021-11-26
1458355767216586752,2021-11-10,2021-11-26
1456441701891936512,2021-11-05,2021-11-26
1455041322792808448,2021-11-01,2021-11-26
1458373069026824192,2021-11-10,2021-11-26
1460193074278113280,2021-11-15,2021-11-26
1463901335581908992,2021-11-25,2021-11-26
1457408925842620416,2021-11-07,2021-11-27
1458355767216586752,2021-11-10,2021-11-27
1456441701891936512,2021-11-05,2021-11-27
1455041322792808448,2021-11-01,2021-11-27
1458373069026824192,2021-11-10,2021-11-27
1460193074278113280,2021-11-15,2021-11-27
1463901335581908992,2021-11-25,2021-11-27
1452580366355611648,2021-10-25,2021-11-27
1457408925842620416,2021-11-07,2021-11-28
1458355767216586752,2021-11-10,2021-11-28
1456441701891936512,2021-11-05,2021-11-28
1455041322792808448,2021-11-01,2021-11-28
1458373069026824192,2021-11-10,2021-11-28
1460193074278113280,2021-11-15,2021-11-28
1463901335581908992,2021-11-25,2021-11-28
1452580366355611648,2021-10-25,2021-11-28
1457408925842620416,2021-11-07,2021-11-29
1458355767216586752,2021-11-10,2021-11-29
1456441701891936512,2021-11-05,2021-11-29
1455041322792808448,2021-11-01,2021-11-29
1458373069026824192,2021-11-10,2021-11-29
1460193074278113280,2021-11-15,2021-11-29
1463901335581908992,2021-11-25,2021-11-29
1452580366355611648,2021-10-25,2021-11-29
1457408925842620416,2021-11-07,2021-11-30
1458355767216586752,2021-11-10,2021-11-30
1456441701891936512,2021-11-05,2021-11-30
1455041322792808448,2021-11-01,2021-11-30
1458373069026824192,2021-11-10,2021-11-30
1460193074278113280,2021-11-15,2021-11-30
1463901335581908992,2021-11-25,2021-11-30
1452580366355611648,2021-10-25,2021-11-30
1457408925842620416,2021-11-07,2021-12-01
1458355767216586752,2021-11-10,2021-12-01
1456441701891936512,2021-11-05,2021-12-01
1455041322792808448,2021-11-01,2021-12-01
1458373069026824192,2021-11-10,2021-12-01
1460193074278113280,2021-11-15,2021-12-01
1463901335581908992,2021-11-25,2021-12-01
1452580366355611648,2021-10-25,2021-12-01
1457408925842620416,2021-11-07,2021-12-02
1458355767216586752,2021-11-10,2021-12-02
1456441701891936512,2021-11-05,2021-12-02
1455041322792808448,2021-11-01,2021-12-02
1458373069026824192,2021-11-10,2021-12-02
1460193074278113280,2021-11-15,2021-12-02
1465963507690598400,2021-12-01,2021-12-02
1463901335581908992,2021-11-25,2021-12-02
1452580366355611648,2021-10-25,2021-12-02
1457408925842620416,2021-11-07,2021-12-03
1458355767216586752,2021-11-10,2021-12-03
1456441701891936512,2021-11-05,2021-12-03
1455041322792808448,2021-11-01,2021-12-03
1458373069026824192,2021-11-10,2021-12-03
1460193074278113280,2021-11-15,2021-12-03
1465963507690598400,2021-12-01,2021-12-03
1463901335581908992,2021-11-25,2021-12-03
1452580366355611648,2021-10-25,2021-12-03
1457408925842620416,2021-11-07,2021-12-04
1458355767216586752,2021-11-10,2021-12-04
1456441701891936512,2021-11-05,2021-12-04
1455041322792808448,2021-11-01,2021-12-04
1458373069026824192,2021-11-10,2021-12-04
1460193074278113280,2021-11-15,2021-12-04
1465963507690598400,2021-12-01,2021-12-04
1463901335581908992,2021-11-25,2021-12-04
1452580366355611648,2021-10-25,2021-12-04
1457408925842620416,2021-11-07,2021-12-05
1458355767216586752,2021-11-10,2021-12-05
1456441701891936512,2021-11-05,2021-12-05
1455041322792808448,2021-11-01,2021-12-05
1458373069026824192,2021-11-10,2021-12-05
1460193074278113280,2021-11-15,2021-12-05
1465963507690598400,2021-12-01,2021-12-05
1463901335581908992,2021-11-25,2021-12-05
1452580366355611648,2021-10-25,2021-12-05
1457408925842620416,2021-11-07,2021-12-06
1458355767216586752,2021-11-10,2021-12-06
1456441701891936512,2021-11-05,2021-12-06
1455041322792808448,2021-11-01,2021-12-06
1458373069026824192,2021-11-10,2021-12-06
1460193074278113280,2021-11-15,2021-12-06
1465963507690598400,2021-12-01,2021-12-06
1463901335581908992,2021-11-25,2021-12-06
1452580366355611648,2021-10-25,2021-12-06
1457408925842620416,2021-11-07,2021-12-07
1458355767216586752,2021-11-10,2021-12-07
1456441701891936512,2021-11-05,2021-12-07
1455041322792808448,2021-11-01,2021-12-07
1458373069026824192,2021-11-10,2021-12-07
1460193074278113280,2021-11-15,2021-12-07
1465963507690598400,2021-12-01,2021-12-07
1463901335581908992,2021-11-25,2021-12-07
1457408925842620416,2021-11-07,2021-12-08
1458355767216586752,2021-11-10,2021-12-08
1456441701891936512,2021-11-05,2021-12-08
1455041322792808448,2021-11-01,2021-12-08
1458373069026824192,2021-11-10,2021-12-08
1460193074278113280,2021-11-15,2021-12-08
1465963507690598400,2021-12-01,2021-12-08
1463901335581908992,2021-11-25,2021-12-08
1457408925842620416,2021-11-07,2021-12-09
1458355767216586752,2021-11-10,2021-12-09
1456441701891936512,2021-11-05,2021-12-09
1455041322792808448,2021-11-01,2021-12-09
1458373069026824192,2021-11-10,2021-12-09
1460193074278113280,2021-11-15,2021-12-09
1465963507690598400,2021-12-01,2021-12-09
1463901335581908992,2021-11-25,2021-12-09
1457408925842620416,2021-11-07,2021-12-10
1458355767216586752,2021-11-10,2021-12-10
1456441701891936512,2021-11-05,2021-12-10
1455041322792808448,2021-11-01,2021-12-10
1458373069026824192,2021-11-10,2021-12-10
1460193074278113280,2021-11-15,2021-12-10
1465963507690598400,2021-12-01,2021-12-10
1463901335581908992,2021-11-25,2021-12-10
1457408925842620416,2021-11-07,2021-12-11
1458355767216586752,2021-11-10,2021-12-11
1456441701891936512,2021-11-05,2021-12-11
1455041322792808448,2021-11-01,2021-12-11
1458373069026824192,2021-11-10,2021-12-11
1460193074278113280,2021-11-15,2021-12-11
1465963507690598400,2021-12-01,2021-12-11
1463901335581908992,2021-11-25,2021-12-11
1457408925842620416,2021-11-07,2021-12-12
1458355767216586752,2021-11-10,2021-12-12
1456441701891936512,2021-11-05,2021-12-12
1455041322792808448,2021-11-01,2021-12-12
1458373069026824192,2021-11-10,2021-12-12
1460193074278113280,2021-11-15,2021-12-12
1465963507690598400,2021-12-01,2021-12-12
1463901335581908992,2021-11-25,2021-12-12
1457408925842620416,2021-11-07,2021-12-13
1458355767216586752,2021-11-10,2021-12-13
1456441701891936512,2021-11-05,2021-12-13
1458373069026824192,2021-11-10,2021-12-13
1460193074278113280,2021-11-15,2021-12-13
1465963507690598400,2021-12-01,2021-12-13
1463901335581908992,2021-11-25,2021-12-13
1455366798665125888,2021-11-02,2021-12-13
1457408925842620416,2021-11-07,2021-12-14
1458355767216586752,2021-11-10,2021-12-14
1456441701891936512,2021-11-05,2021-12-14
1458373069026824192,2021-11-10,2021-12-14
1460193074278113280,2021-11-15,2021-12-14
1465963507690598400,2021-12-01,2021-12-14
1463901335581908992,2021-11-25,2021-12-14
1455366798665125888,2021-11-02,2021-12-14
1455447814247383040,2021-11-02,2021-12-14
1457408925842620416,2021-11-07,2021-12-15
1458355767216586752,2021-11-10,2021-12-15
1456441701891936512,2021-11-05,2021-12-15
1458373069026824192,2021-11-10,2021-12-15
1460193074278113280,2021-11-15,2021-12-15
1465963507690598400,2021-12-01,2021-12-15
1463901335581908992,2021-11-25,2021-12-15
1455837117255352300,2021-11-03,2021-12-15
1457408925842620416,2021-11-07,2021-12-16
1458355767216586752,2021-11-10,2021-12-16
1456441701891936512,2021-11-05,2021-12-16
1458373069026824192,2021-11-10,2021-12-16
1460193074278113280,2021-11-15,2021-12-16
1465963507690598400,2021-12-01,2021-12-16
1463901335581908992,2021-11-25,2021-12-16
1456101225162625024,2021-11-04,2021-12-16
1456792028705169408,2021-11-06,2021-12-16
1457408925842620416,2021-11-07,2021-12-17
1458355767216586752,2021-11-10,2021-12-17
1456441701891936512,2021-11-05,2021-12-17
1458373069026824192,2021-11-10,2021-12-17
1460193074278113280,2021-11-15,2021-12-17
1465963507690598400,2021-12-01,2021-12-17
1463901335581908992,2021-11-25,2021-12-17
1456792028705169408,2021-11-06,2021-12-17
1457408919660228608,2021-11-07,2021-12-17
1457408919660228600,2021-11-07,2021-12-17
1457408925842620416,2021-11-07,2021-12-18
1458355767216586752,2021-11-10,2021-12-18
1458373069026824192,2021-11-10,2021-12-18
1460193074278113280,2021-11-15,2021-12-18
1465963507690598400,2021-12-01,2021-12-18
1463901335581908992,2021-11-25,2021-12-18
1456792028705169408,2021-11-06,2021-12-18
1457408919660228608,2021-11-07,2021-12-18
1457408919660228600,2021-11-07,2021-12-18
1457408925842620416,2021-11-07,2021-12-19
1458355767216586752,2021-11-10,2021-12-19
1458373069026824192,2021-11-10,2021-12-19
1460193074278113280,2021-11-15,2021-12-19
1465963507690598400,2021-12-01,2021-12-19
1463901335581908992,2021-11-25,2021-12-19
1457408919660228608,2021-11-07,2021-12-19
1457408919660228600,2021-11-07,2021-12-19
1458355767216586752,2021-11-10,2021-12-20
1458373069026824192,2021-11-10,2021-12-20
1460193074278113280,2021-11-15,2021-12-20
1465963507690598400,2021-12-01,2021-12-20
1463901335581908992,2021-11-25,2021-12-20
1458355764536520704,2021-11-10,2021-12-20
1458355767216586752,2021-11-10,2021-12-21
1472801219085496320,2021-12-20,2021-12-21
1458373069026824192,2021-11-10,2021-12-21
1460193074278113280,2021-11-15,2021-12-21
1465963507690598400,2021-12-01,2021-12-21
1463901335581908992,2021-11-25,2021-12-21
1458355764536520704,2021-11-10,2021-12-21
1458355767216586752,2021-11-10,2021-12-22
1472801219085496320,2021-12-20,2021-12-22
1458373069026824192,2021-11-10,2021-12-22
1460193074278113280,2021-11-15,2021-12-22
1465963507690598400,2021-12-01,2021-12-22
1463901335581908992,2021-11-25,2021-12-22
1458355764536520704,2021-11-10,2021-12-22
1472801219085496320,2021-12-20,2021-12-23
1460193074278113280,2021-11-15,2021-12-23
1465963507690598400,2021-12-01,2021-12-23
1463901335581908992,2021-11-25,2021-12-23
1459001408489881600,2021-11-12,2021-12-23
1459047733629644800,2021-11-12,2021-12-23
1472801219085496320,2021-12-20,2021-12-24
1460193074278113280,2021-11-15,2021-12-24
1465963507690598400,2021-12-01,2021-12-24
1463901335581908992,2021-11-25,2021-12-24
1459001408489881600,2021-11-12,2021-12-24
1459047733629644800,2021-11-12,2021-12-24
1459151307831402496,2021-11-12,2021-12-24
1472801219085496320,2021-12-20,2021-12-25
1460193074278113280,2021-11-15,2021-12-25
1465963507690598400,2021-12-01,2021-12-25
1463901335581908992,2021-11-25,2021-12-25
1472801219085496320,2021-12-20,2021-12-26
1460193074278113280,2021-11-15,2021-12-26
1465963507690598400,2021-12-01,2021-12-26
1463901335581908992,2021-11-25,2021-12-26
1472801219085496320,2021-12-20,2021-12-27
1460193074278113280,2021-11-15,2021-12-27
1465963507690598400,2021-12-01,2021-12-27
1463901335581908992,2021-11-25,2021-12-27
1472801219085496320,2021-12-20,2021-12-28
1465963507690598400,2021-12-01,2021-12-28
1463901335581908992,2021-11-25,2021-12-28
1472801219085496320,2021-12-20,2021-12-29
1465963507690598400,2021-12-01,2021-12-29
1463901335581908992,2021-11-25,2021-12-29
1472801219085496320,2021-12-20,2021-12-30
1465963507690598400,2021-12-01,2021-12-30
1463901335581908992,2021-11-25,2021-12-30
1472801219085496320,2021-12-20,2021-12-31
1465963507690598400,2021-12-01,2021-12-31
1476481556231639040,2021-12-30,2021-12-31
1463901335581908992,2021-11-25,2021-12-31
1461632538129027072,2021-11-19,2021-12-31
1472801219085496320,2021-12-20,2022-01-01
1465963507690598400,2021-12-01,2022-01-01
1476481556231639040,2021-12-30,2022-01-01
1463901335581908992,2021-11-25,2022-01-01
1462630153532547072,2021-11-22,2022-01-01
1472801219085496320,2021-12-20,2022-01-02
1465963507690598400,2021-12-01,2022-01-02
1476481556231639040,2021-12-30,2022-01-02
1463901335581908992,2021-11-25,2022-01-02
1462630153532547072,2021-11-22,2022-01-02
1472801219085496320,2021-12-20,2022-01-03
1465963507690598400,2021-12-01,2022-01-03
1476481556231639040,2021-12-30,2022-01-03
1463901335581908992,2021-11-25,2022-01-03
1462630153532547072,2021-11-22,2022-01-03
1462808070321360896,2021-11-22,2022-01-03
1472801219085496320,2021-12-20,2022-01-04
1465963507690598400,2021-12-01,2022-01-04
1476481556231639040,2021-12-30,2022-01-04
1463901335581908992,2021-11-25,2022-01-04
1462977330062630912,2021-11-23,2022-01-04
1472801219085496320,2021-12-20,2022-01-05
1465963507690598400,2021-12-01,2022-01-05
1476481556231639040,2021-12-30,2022-01-05
1463901335581908992,2021-11-25,2022-01-05
1472801219085496320,2021-12-20,2022-01-06
1465963507690598400,2021-12-01,2022-01-06
1476481556231639040,2021-12-30,2022-01-06
1463901335581908992,2021-11-25,2022-01-06
1463907871762960384,2021-11-25,2022-01-06
1472801219085496320,2021-12-20,2022-01-07
1465963507690598400,2021-12-01,2022-01-07
1476481556231639040,2021-12-30,2022-01-07
1464136859295092736,2021-11-26,2022-01-07
1464509819860119552,2021-11-27,2022-01-07
1472801219085496320,2021-12-20,2022-01-08
1465963507690598400,2021-12-01,2022-01-08
1476481556231639040,2021-12-30,2022-01-08
1464509819860119552,2021-11-27,2022-01-08
1464928472543875072,2021-11-28,2022-01-08
1465243171764330496,2021-11-29,2022-01-08
1472801219085496320,2021-12-20,2022-01-09
1465963507690598400,2021-12-01,2022-01-09
1476481556231639040,2021-12-30,2022-01-09
1464928472543875072,2021-11-28,2022-01-09
1465243171764330496,2021-11-29,2022-01-09
1465588427336732672,2021-11-30,2022-01-09
1472801219085496320,2021-12-20,2022-01-10
1465963507690598400,2021-12-01,2022-01-10
1476481556231639040,2021-12-30,2022-01-10
1465243171764330496,2021-11-29,2022-01-10
1465588427336732672,2021-11-30,2022-01-10
1472801219085496320,2021-12-20,2022-01-11
1465963507690598400,2021-12-01,2022-01-11
1476481556231639040,2021-12-30,2022-01-11
1465588427336732672,2021-11-30,2022-01-11
1472801219085496320,2021-12-20,2022-01-12
1465963507690598400,2021-12-01,2022-01-12
1476481556231639040,2021-12-30,2022-01-12
1472801219085496320,2021-12-20,2022-01-13
1476481556231639040,2021-12-30,2022-01-13
1472801219085496320,2021-12-20,2022-01-14
1476481556231639040,2021-12-30,2022-01-14
1467795492751163392,2021-12-06,2022-01-14
1472801219085496320,2021-12-20,2022-01-15
1476481556231639040,2021-12-30,2022-01-15
1467795492751163392,2021-12-06,2022-01-15
1468113536954281984,2021-12-07,2022-01-15
1472801219085496320,2021-12-20,2022-01-16
1482326787665371136,2022-01-15,2022-01-16
1476481556231639040,2021-12-30,2022-01-16
1467795492751163392,2021-12-06,2022-01-16
1468113536954281984,2021-12-07,2022-01-16
1472801219085496320,2021-12-20,2022-01-17
1482326787665371136,2022-01-15,2022-01-17
1476481556231639040,2021-12-30,2022-01-17
1467795492751163392,2021-12-06,2022-01-17
1468113536954281984,2021-12-07,2022-01-17
1468485976972742912,2021-12-08,2022-01-17
1472801219085496320,2021-12-20,2022-01-18
1482326787665371136,2022-01-15,2022-01-18
1476481556231639040,2021-12-30,2022-01-18
1468113536954281984,2021-12-07,2022-01-18
1468485976972742912,2021-12-08,2022-01-18
1472801219085496320,2021-12-20,2022-01-19
1482326787665371136,2022-01-15,2022-01-19
1483444321160421376,2022-01-18,2022-01-19
1476481556231639040,2021-12-30,2022-01-19
1468485976972742912,2021-12-08,2022-01-19
1472801219085496320,2021-12-20,2022-01-20
1482326787665371136,2022-01-15,2022-01-20
1483444321160421376,2022-01-18,2022-01-20
1476481556231639040,2021-12-30,2022-01-20
1469969976568139776,2021-12-12,2022-01-20
1472801219085496320,2021-12-20,2022-01-21
1482326787665371136,2022-01-15,2022-01-21
1483444321160421376,2022-01-18,2022-01-21
1476481556231639040,2021-12-30,2022-01-21
1469969976568139776,2021-12-12,2022-01-21
1472801219085496320,2021-12-20,2022-01-22
1482326787665371136,2022-01-15,2022-01-22
1483444321160421376,2022-01-18,2022-01-22
1476481556231639040,2021-12-30,2022-01-22
1469969976568139776,2021-12-12,2022-01-22
1472801219085496320,2021-12-20,2022-01-23
1482326787665371136,2022-01-15,2022-01-23
1483444321160421376,2022-01-18,2022-01-23
1476481556231639040,2021-12-30,2022-01-23
1469969976568139776,2021-12-12,2022-01-23
1472801219085496320,2021-12-20,2022-01-24
1482326787665371136,2022-01-15,2022-01-24
1483444321160421376,2022-01-18,2022-01-24
1476481556231639040,2021-12-30,2022-01-24
1471315258832658432,2021-12-16,2022-01-24
1472801219085496320,2021-12-20,2022-01-25
1482326787665371136,2022-01-15,2022-01-25
1483444321160421376,2022-01-18,2022-01-25
1476481556231639040,2021-12-30,2022-01-25
1471315258832658432,2021-12-16,2022-01-25
1472801219085496320,2021-12-20,2022-01-26
1482326787665371136,2022-01-15,2022-01-26
1483444321160421376,2022-01-18,2022-01-26
1476481556231639040,2021-12-30,2022-01-26
1471315258832658432,2021-12-16,2022-01-26
1472801219085496320,2021-12-20,2022-01-27
1482326787665371136,2022-01-15,2022-01-27
1483444321160421376,2022-01-18,2022-01-27
1476481556231639040,2021-12-30,2022-01-27
1471315258832658432,2021-12-16,2022-01-27
1471732125435330560,2021-12-17,2022-01-27
1472199423287386112,2021-12-18,2022-01-27
1472801219085496320,2021-12-20,2022-01-28
1482326787665371136,2022-01-15,2022-01-28
1483444321160421376,2022-01-18,2022-01-28
1476481556231639040,2021-12-30,2022-01-28
1471732125435330560,2021-12-17,2022-01-28
1472199423287386112,2021-12-18,2022-01-28
1472801219085496320,2021-12-20,2022-01-29
1482326787665371136,2022-01-15,2022-01-29
1483444321160421376,2022-01-18,2022-01-29
1476481556231639040,2021-12-30,2022-01-29
1472199423287386112,2021-12-18,2022-01-29
1472801219085496320,2021-12-20,2022-01-30
1482326787665371136,2022-01-15,2022-01-30
1483444321160421376,2022-01-18,2022-01-30
1476481556231639040,2021-12-30,2022-01-30
1472801219085496320,2021-12-20,2022-01-31
1482326787665371136,2022-01-15,2022-01-31
1483444321160421376,2022-01-18,2022-01-31
1476481556231639040,2021-12-30,2022-01-31
1482326787665371136,2022-01-15,2022-02-01
1483444321160421376,2022-01-18,2022-02-01
1476481556231639040,2021-12-30,2022-02-01
1475370401228538112,2021-12-27,2022-02-01
1482326787665371136,2022-01-15,2022-02-02
1483444321160421376,2022-01-18,2022-02-02
1476481556231639040,2021-12-30,2022-02-02
1475370401228538112,2021-12-27,2022-02-02
1482326787665371136,2022-01-15,2022-02-03
1483444321160421376,2022-01-18,2022-02-03
1476481556231639040,2021-12-30,2022-02-03
1475370401228538112,2021-12-27,2022-02-03
1475837427617247232,2021-12-28,2022-02-03
1482326787665371136,2022-01-15,2022-02-04
1483444321160421376,2022-01-18,2022-02-04
1476481556231639040,2021-12-30,2022-02-04
1475370401228538112,2021-12-27,2022-02-04
1475837427617247232,2021-12-28,2022-02-04
1482326787665371136,2022-01-15,2022-02-05
1483444321160421376,2022-01-18,2022-02-05
1476481556231639040,2021-12-30,2022-02-05
1475370401228538112,2021-12-27,2022-02-05
1475837427617247232,2021-12-28,2022-02-05
1482326787665371136,2022-01-15,2022-02-06
1483444321160421376,2022-01-18,2022-02-06
1476481556231639040,2021-12-30,2022-02-06
1475370401228538112,2021-12-27,2022-02-06
1475837427617247232,2021-12-28,2022-02-06
1482326787665371136,2022-01-15,2022-02-07
1483444321160421376,2022-01-18,2022-02-07
1476481556231639040,2021-12-30,2022-02-07
1475370401228538112,2021-12-27,2022-02-07
1475837427617247232,2021-12-28,2022-02-07
1482326787665371136,2022-01-15,2022-02-08
1483444321160421376,2022-01-18,2022-02-08
1490690095162273792,2022-02-07,2022-02-08
1476481556231639040,2021-12-30,2022-02-08
1475837427617247232,2021-12-28,2022-02-08
1476448781088755712,2021-12-30,2022-02-08
1482326787665371136,2022-01-15,2022-02-09
1483444321160421376,2022-01-18,2022-02-09
1490690095162273792,2022-02-07,2022-02-09
1476481556231639040,2021-12-30,2022-02-09
1476448781088755712,2021-12-30,2022-02-09
1478292404235300864,2022-01-04,2022-02-09
1482326787665371136,2022-01-15,2022-02-10
1483444321160421376,2022-01-18,2022-02-10
1490690095162273792,2022-02-07,2022-02-10
1476481556231639040,2021-12-30,2022-02-10
1476448781088755712,2021-12-30,2022-02-10
1478292404235300864,2022-01-04,2022-02-10
1478722585537908736,2022-01-05,2022-02-10
1482326787665371136,2022-01-15,2022-02-11
1483444321160421376,2022-01-18,2022-02-11
1490690095162273792,2022-02-07,2022-02-11
1491695160735895552,2022-02-10,2022-02-11
1478292404235300864,2022-01-04,2022-02-11
1478722585537908736,2022-01-05,2022-02-11
1479345689113276416,2022-01-07,2022-02-11
1482326787665371136,2022-01-15,2022-02-12
1483444321160421376,2022-01-18,2022-02-12
1490690095162273792,2022-02-07,2022-02-12
1491695160735895552,2022-02-10,2022-02-12
1478292404235300864,2022-01-04,2022-02-12
1478722585537908736,2022-01-05,2022-02-12
1479345689113276416,2022-01-07,2022-02-12
1482326787665371136,2022-01-15,2022-02-13
1483444321160421376,2022-01-18,2022-02-13
1490690095162273792,2022-02-07,2022-02-13
1491695160735895552,2022-02-10,2022-02-13
1478292404235300864,2022-01-04,2022-02-13
1478722585537908736,2022-01-05,2022-02-13
1479345689113276416,2022-01-07,2022-02-13
1482326787665371136,2022-01-15,2022-02-14
1483444321160421376,2022-01-18,2022-02-14
1490690095162273792,2022-02-07,2022-02-14
1491695160735895552,2022-02-10,2022-02-14
1478292404235300864,2022-01-04,2022-02-14
1478722585537908736,2022-01-05,2022-02-14
1479345689113276416,2022-01-07,2022-02-14
1482326787665371136,2022-01-15,2022-02-15
1483444321160421376,2022-01-18,2022-02-15
1490690095162273792,2022-02-07,2022-02-15
1491695160735895552,2022-02-10,2022-02-15
1478292404235300864,2022-01-04,2022-02-15
1478722585537908736,2022-01-05,2022-02-15
1479345689113276416,2022-01-07,2022-02-15
1482326787665371136,2022-01-15,2022-02-16
1483444321160421376,2022-01-18,2022-02-16
1490690095162273792,2022-02-07,2022-02-16
1491695160735895552,2022-02-10,2022-02-16
1478722585537908736,2022-01-05,2022-02-16
1479345689113276416,2022-01-07,2022-02-16
1482326787665371136,2022-01-15,2022-02-17
1483444321160421376,2022-01-18,2022-02-17
1490690095162273792,2022-02-07,2022-02-17
1491695160735895552,2022-02-10,2022-02-17
1479345689113276416,2022-01-07,2022-02-17
1482326787665371136,2022-01-15,2022-02-18
1483444321160421376,2022-01-18,2022-02-18
1490690095162273792,2022-02-07,2022-02-18
1491695160735895552,2022-02-10,2022-02-18
1479345689113276416,2022-01-07,2022-02-18
1482326787665371136,2022-01-15,2022-02-19
1483444321160421376,2022-01-18,2022-02-19
1490690095162273792,2022-02-07,2022-02-19
1491695160735895552,2022-02-10,2022-02-19
1482326335343276000,2022-01-15,2022-02-19
1482326787665371136,2022-01-15,2022-02-20
1483444321160421376,2022-01-18,2022-02-20
1490690095162273792,2022-02-07,2022-02-20
1491695160735895552,2022-02-10,2022-02-20
1482326335343276000,2022-01-15,2022-02-20
1482326335343276032,2022-01-15,2022-02-20
1482433262488518912,2022-01-15,2022-02-20
1482326787665371136,2022-01-15,2022-02-21
1483444321160421376,2022-01-18,2022-02-21
1490690095162273792,2022-02-07,2022-02-21
1491695160735895552,2022-02-10,2022-02-21
1482326335343276000,2022-01-15,2022-02-21
